Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
121,2.6666006,0.458490082,0.342869969,36.69836888,TRUE,TRUE,0.347726923,,,,,,,,
121,2.661604719,-2.392877421,1.378590771,34.10953121,FALSE,FALSE,0.709348456,,,,,,,,
,,,,,,,,,,,,,,,
122,3.020384881,0.022533507,0.617670959,36.16751912,FALSE,TRUE,0.078332637,,3.02,0.023,0.618,36.168,FALSE,TRUE,0.078332637
122,2.782566553,-1.828350254,1.860626709,35.1966374,FALSE,FALSE,1.147269466,,,,,,,,
,,,,,,,,,,,,,,,
123,3.410372637,-0.09731436,-0.108348276,32.49706452,TRUE,TRUE,0.743116842,,3.355,-0.479,0.597,36.476,TRUE,TRUE,0.038452186
123,3.359122505,-0.205456405,-0.732855555,32.13310967,TRUE,TRUE,1.066754351,,,,,,,,
123,3.357434624,-0.221109738,-0.849615509,31.86609475,TRUE,TRUE,0.07057243,,,,,,,,
123,3.355210477,-0.478751727,0.597201281,36.47608129,TRUE,TRUE,0.038452186,,,,,,,,
123,3.351950989,-0.155021197,-0.509805833,31.80866976,TRUE,TRUE,0.688041577,,,,,,,,
123,3.341946629,-0.061654935,-0.226989625,31.61139019,TRUE,TRUE,0.124937225,,,,,,,,
123,3.340480576,-0.239571918,-1.264674607,31.87194096,TRUE,TRUE,1.196675136,,,,,,,,
123,3.322276714,-0.415804126,0.218471221,33.47572821,TRUE,FALSE,0.40836562,,,,,,,,
123,3.233265428,-1.449744442,1.308982161,36.69595393,TRUE,TRUE,1.192106135,,,,,,,,
123,3.221154907,-1.717069397,1.42789378,37.06955675,TRUE,TRUE,0.248551346,,,,,,,,
,,,,,,,,,,,,,,,
124,3.887766059,-0.273168955,0.879602265,34.37868082,FALSE,FALSE,0.571084695,,3.442,0.344,0.557,36.783,TRUE,TRUE,0.442645698
124,3.442123677,0.34402131,0.556658742,36.78294373,TRUE,TRUE,0.442645698,,,,,,,,
,,,,,,,,,,,,,,,
125,2.577500051,1.188526609,0.982841758,35.40159873,FALSE,TRUE,0.22560397,,2.578,1.189,0.983,35.402,FALSE,TRUE,0.22560397
125,2.513472787,-0.45858473,0.381181699,35.57912924,FALSE,TRUE,0.481374474,,,,,,,,
,,,,,,,,,,,,,,,
126,2.89171619,-0.31941427,-0.013221882,36.6265518,TRUE,TRUE,0.354170361,,2.681,-0.658,0.173,35.106,FALSE,FALSE,0.377017114
126,2.887159287,-0.443865238,-0.139379101,37.33772755,TRUE,TRUE,0.443023001,,,,,,,,
126,2.680570283,-0.65771233,0.1728162,35.10627019,FALSE,FALSE,0.377017114,,,,,,,,
126,2.080178562,1.543243439,1.985863766,33.40456331,FALSE,FALSE,1.094006113,,,,,,,,
126,1.938655519,2.235484443,1.80096321,32.55508254,TRUE,FALSE,0.564588818,,,,,,,,
126,1.912388851,1.350710938,1.643921491,34.42440817,FALSE,FALSE,0.712198775,,,,,,,,
,,,,,,,,,,,,,,,
127,1.936218634,0.111163275,1.114130584,34.88834351,FALSE,FALSE,0.268073592,,1.936,0.111,1.114,34.888,FALSE,FALSE,0.268073592
127,1.904061633,0.127680053,0.887898124,35.34278267,FALSE,TRUE,0.47717546,,,,,,,,
127,1.709753288,0.928975788,-0.064825611,34.64071409,FALSE,TRUE,0.155024902,,,,,,,,
,,,,,,,,,,,,,,,
128,2.358024864,-0.131405037,0.691861373,34.73042381,FALSE,TRUE,0.200731931,,2.355,-0.066,0.738,34.486,TRUE,TRUE,0.370387346
128,2.354945491,-0.066135792,0.737565364,34.48568768,TRUE,TRUE,0.370387346,,,,,,,,
,,,,,,,,,,,,,,,
129,2.621614009,0.567632465,1.222391071,33.1413484,TRUE,FALSE,0.132229808,,2.513,0.45,0.865,34.685,FALSE,TRUE,0.391219078
129,2.51261131,0.449583524,0.864926681,34.68547051,FALSE,TRUE,0.391219078,,,,,,,,
129,2.216899342,-1.682754617,1.449061353,33.05502096,FALSE,FALSE,0.184021459,,,,,,,,
129,2.215759584,-1.341496537,1.459896775,33.34536599,TRUE,FALSE,1.534524975,,,,,,,,
,,,,,,,,,,,,,,,
130,3.155111779,-0.577339339,0.903477484,37.14767541,TRUE,TRUE,0.117429923,,3.019,-0.429,1.319,35.891,FALSE,TRUE,0.412811066
