Frame Count,r,x,y,z,,angle_1,index_1,location_1,,angle_2,index_2,location_2,,angle_3,index_3,location_3
112,3.15828401507148,-0.28550291480649986,2.874175967853931,34.018051538121604,,1.2395214132321,224,Cap2_Leaf_B,,1.0289423772439785,246,Cap4_Leaf_B,,0.8731288631137148,61,Linker_7
112,3.156809942238577,-0.49798900263766915,2.7098086016844114,33.614271689250046,,1.255145668602904,224,Cap2_Leaf_B,,1.0131633425022037,246,Cap4_Leaf_B,,0.8732836424846855,32,Linker_8
112,2.938963749294338,-0.3267873081348218,2.2008325975221794,32.11262017698843,,1.2710894678581548,194,Linker_6,,1.051501232517078,56,Linker_6,,0.8190019532145604,246,Cap4_Leaf_B
112,2.869898720330821,0.24243790868576073,2.6722066623342617,36.78337256116782,,1.5337407031903332,90,Cap2_Leaf_A,,1.0157086835349287,84,Cap2_Leaf_B,,0.5921432668645318,120,Cap1_Leaf_A
112,2.867319543344771,0.26542191490178296,2.4583173604695716,36.690527772754535,,2.1477930055976557,267,Cap1_Leaf_C,,0.8946802659681211,120,Cap1_Leaf_A,,0.09911938202401795,84,Cap2_Leaf_B
112,2.854751623782093,0.25467382373882513,2.0150430266697352,36.32580595644814,,1.3945105876095905,104,Cap4_Leaf_B,,1.255503973248029,267,Cap1_Leaf_C,,0.4915780927321735,84,Cap2_Leaf_B
112,2.689943214439764,-1.132537951838196,0.7175613314472438,33.34959067857148,,1.329725343240866,224,Cap2_Leaf_B,,1.1382555603035391,194,Linker_6,,0.6736117500453881,246,Cap4_Leaf_B
112,2.5839698375118725,-0.9223515476275611,0.5179824303933072,32.482208096832515,,1.526455136990166,193,Linker_8,,1.275281154276187,194,Linker_6,,0.3398563623234404,246,Cap4_Leaf_B
""
113,2.5481784552969673,-0.25242929153858934,0.5775251318149245,35.95990851413922,,1.4341997102592663,265,Cap1_Leaf_C,,1.2194460370224984,102,Cap4_Leaf_B,,0.48794690630802834,85,Cap2_Leaf_B
113,2.4856255243970486,-0.18025071252755373,0.7773404094013815,35.10315008196684,,1.2543959910757678,267,Cap1_Leaf_C,,1.2262974042174422,245,Cap4_Leaf_B,,0.6608992582965834,85,Cap2_Leaf_B
113,2.478063059516338,-0.5105951234313509,0.5718608219106216,36.978187390498974,,1.4661541732330574,215,Cap3_Leaf_B,,1.0072009231942556,83,Cap2_Leaf_A,,0.6682375571624803,265,Cap1_Leaf_C
113,2.399175692830312,-0.4893365537140908,1.480605347472194,37.06524692431565,,1.472597477644279,92,Cap2_Leaf_C,,0.8921131279941411,83,Cap2_Leaf_A,,0.7768820479513735,265,Cap1_Leaf_C
113,2.2400198538435228,-0.5691656111002953,2.4416021297607746,35.527022109439045,,1.3737995286249933,93,Cap2_Leaf_C,,1.0595492246764857,267,Cap1_Leaf_C,,0.7082439002883142,85,Cap2_Leaf_B
113,2.2282902960154543,-0.5150477066492802,2.2989663783339203,35.20460460921759,,1.4976155277288947,84,Cap2_Leaf_B,,1.45167111102571,85,Cap2_Leaf_B,,0.19230601483518844,267,Cap1_Leaf_C
113,2.206074829643714,-0.4730552220997635,2.6919391488453686,34.90069331071281,,1.6509503639511616,203,Linker_7,,0.8206881810208971,84,Cap2_Leaf_B,,0.6699541086177346,267,Cap1_Leaf_C
""
114,4.01007313251964,-0.3069361291398386,0.8890255358218764,31.088355796689267,,1.530373448372993,201,Linker_5,,0.8971928123932844,49,Linker_8,,0.7140263928235158,195,Linker_6
114,2.819206625660619,-0.9952918620689468,1.5197183778599979,35.809542396012894,,1.5374841305485494,215,Cap3_Leaf_B,,0.9532667471798992,84,Cap2_Leaf_B,,0.6508417758613447,267,Cap1_Leaf_C
114,2.3144100219134134,0.24505803945070542,-0.02682715644556769,35.63563201979578,,1.551558049763694,245,Cap4_Leaf_B,,0.9622456824180124,267,Cap1_Leaf_C,,0.6277889214080868,215,Cap3_Leaf_B
""
115,3.0545068125372916,1.131735518048788,1.6516499015752435,33.883383500152824,,1.4615543712000763,246,Cap4_Leaf_B,,1.1216275305749406,216,Cap3_Leaf_B,,0.5584107518147764,171,Linker_7
115,2.8962228191572397,-0.3250876063283289,2.623596841340044,35.29803676835325,,1.4749470601571224,254,Cap1_Leaf_B,,1.1602260793701475,62,Linker_5,,0.5064195140625234,216,Cap3_Leaf_B
115,2.8947668478588726,-0.562261846845397,2.6930577941549423,35.44040680337668,,1.3652942354176227,254,Cap1_Leaf_B,,1.177916091710507,61,Linker_7,,0.5983823264616634,216,Cap3_Leaf_B
115,2.8438617344968735,0.6130928813739563,1.7784681041463082,36.29494996222576,,1.3608787490814303,246,Cap4_Leaf_B,,1.1562232044210095,216,Cap3_Leaf_B,,0.6244907000873534,254,Cap1_Leaf_B
115,2.795937868135678,-0.5941891586287099,2.381583674243241,36.33710198009177,,1.4298183041996357,237,Cap2_Leaf_C,,1.2613505699049221,254,Cap1_Leaf_B,,0.4504237794852354,216,Cap3_Leaf_B
""
116,3.1176424827330154,-0.3952697218838094,0.47084514155093393,36.96697078197445,,1.3151496446490967,73,Cap3_Leaf_B,,1.003812536698558,246,Cap4_Leaf_B,,0.8226304722421387,237,Cap2_Leaf_C
116,3.05123296546118,0.07030255825424615,0.4241814776772349,34.076835695393825,,1.2657319774566604,246,Cap4_Leaf_B,,1.1888697668453252,217,Cap3_Leaf_B,,0.6869909092878076,59,Linker_7
